date_label,effective_from,effective_to,classification,card_name
August 1999,01/08/1999,01/04/2000,Limited,Dark Hole
August 1999,01/08/1999,01/04/2000,Limited,Raigeki
August 1999,01/08/1999,01/04/2000,Limited,Trap Hole
April 2000,01/04/2000,01/11/2000,Limited,Change of Heart
April 2000,01/04/2000,01/11/2000,Limited,Dark Hole
April 2000,01/04/2000,01/11/2000,Limited,Exodia the Forbidden One
April 2000,01/04/2000,01/11/2000,Limited,Last Will
April 2000,01/04/2000,01/11/2000,Limited,Left Arm of the Forbidden One
April 2000,01/04/2000,01/11/2000,Limited,Left Leg of the Forbidden One
April 2000,01/04/2000,01/11/2000,Limited,Mirror Force
April 2000,01/04/2000,01/11/2000,Limited,Pot of Greed
April 2000,01/04/2000,01/11/2000,Limited,Raigeki
April 2000,01/04/2000,01/11/2000,Limited,Right Arm of the Forbidden One
April 2000,01/04/2000,01/11/2000,Limited,Right Leg of the Forbidden One
April 2000,01/04/2000,01/11/2000,Semi-Limited,Graceful Charity
April 2000,01/04/2000,01/11/2000,Semi-Limited,Harpie's Feather Duster
April 2000,01/04/2000,01/11/2000,Semi-Limited,Monster Reborn
April 2000,01/04/2000,01/11/2000,Released,Trap Hole
November 2000,01/11/2000,01/05/2001,Limited,Change of Heart
November 2000,01/11/2000,01/05/2001,Limited,Confiscation
November 2000,01/11/2000,01/05/2001,Limited,Cyber Jar
November 2000,01/11/2000,01/05/2001,Limited,Dark Hole
November 2000,01/11/2000,01/05/2001,Limited,Exodia the Forbidden One
November 2000,01/11/2000,01/05/2001,Limited,Harpie's Feather Duster
November 2000,01/11/2000,01/05/2001,Limited,Jinzo
November 2000,01/11/2000,01/05/2001,Limited,Last Will
November 2000,01/11/2000,01/05/2001,Limited,Left Arm of the Forbidden One
November 2000,01/11/2000,01/05/2001,Limited,Left Leg of the Forbidden One
November 2000,01/11/2000,01/05/2001,Limited,Megamorph
November 2000,01/11/2000,01/05/2001,Limited,Mirror Force
November 2000,01/11/2000,01/05/2001,Limited,Monster Reborn
November 2000,01/11/2000,01/05/2001,Limited,Morphing Jar #2
November 2000,01/11/2000,01/05/2001,Limited,Pot of Greed
November 2000,01/11/2000,01/05/2001,Limited,Raigeki
November 2000,01/11/2000,01/05/2001,Limited,Right Arm of the Forbidden One
November 2000,01/11/2000,01/05/2001,Limited,Right Leg of the Forbidden One
November 2000,01/11/2000,01/05/2001,Limited,Sinister Serpent
November 2000,01/11/2000,01/05/2001,Limited,Snatch Steal
November 2000,01/11/2000,01/05/2001,Limited,Swords of Revealing Light
November 2000,01/11/2000,01/05/2001,Limited,The Forceful Sentry
November 2000,01/11/2000,01/05/2001,Semi-Limited,Delinquent Duo
November 2000,01/11/2000,01/05/2001,Semi-Limited,Graceful Charity
November 2000,01/11/2000,01/05/2001,Semi-Limited,Gravekeeper's Servant
November 2000,01/11/2000,01/05/2001,Semi-Limited,Heavy Storm
November 2000,01/11/2000,01/05/2001,Semi-Limited,Imperial Order
May 2001,01/05/2001,01/01/2003,Limited,Call of the Haunted
May 2001,01/05/2001,01/01/2003,Limited,Ceasefire
May 2001,01/05/2001,01/01/2003,Limited,Change of Heart
May 2001,01/05/2001,01/01/2003,Limited,Confiscation
May 2001,01/05/2001,01/01/2003,Limited,Cyber Jar
May 2001,01/05/2001,01/01/2003,Limited,Dark Hole
May 2001,01/05/2001,01/01/2003,Limited,Exodia the Forbidden One
May 2001,01/05/2001,01/01/2003,Limited,Fiber Jar
May 2001,01/05/2001,01/01/2003,Limited,Harpie's Feather Duster
May 2001,01/05/2001,01/01/2003,Limited,Imperial Order
May 2001,01/05/2001,01/01/2003,Limited,Jinzo
May 2001,01/05/2001,01/01/2003,Limited,Left Arm of the Forbidden One
May 2001,01/05/2001,01/01/2003,Limited,Left Leg of the Forbidden One
May 2001,01/05/2001,01/01/2003,Limited,Limiter Removal
May 2001,01/05/2001,01/01/2003,Limited,Mage Power
May 2001,01/05/2001,01/01/2003,Limited,Magic Cylinder
May 2001,01/05/2001,01/01/2003,Limited,Mirror Force
May 2001,01/05/2001,01/01/2003,Limited,Monster Reborn
May 2001,01/05/2001,01/01/2003,Limited,Painful Choice
May 2001,01/05/2001,01/01/2003,Limited,Pot of Greed
May 2001,01/05/2001,01/01/2003,Limited,Raigeki
May 2001,01/05/2001,01/01/2003,Limited,Right Arm of the Forbidden One
May 2001,01/05/2001,01/01/2003,Limited,Right Leg of the Forbidden One
May 2001,01/05/2001,01/01/2003,Limited,Ring of Destruction
May 2001,01/05/2001,01/01/2003,Limited,Snatch Steal
May 2001,01/05/2001,01/01/2003,Limited,The Forceful Sentry
May 2001,01/05/2001,01/01/2003,Limited,United We Stand
May 2001,01/05/2001,01/01/2003,Limited,Yata-Garasu
May 2001,01/05/2001,01/01/2003,Semi-Limited,Backup Soldier
May 2001,01/05/2001,01/01/2003,Semi-Limited,Delinquent Duo
May 2001,01/05/2001,01/01/2003,Semi-Limited,Graceful Charity
May 2001,01/05/2001,01/01/2003,Semi-Limited,Heavy Storm
May 2001,01/05/2001,01/01/2003,Semi-Limited,Last Turn
May 2001,01/05/2001,01/01/2003,Semi-Limited,Morphing Jar #2
May 2001,01/05/2001,01/01/2003,Semi-Limited,Nobleman of Crossout
May 2001,01/05/2001,01/01/2003,Semi-Limited,Riryoku
May 2001,01/05/2001,01/01/2003,Semi-Limited,Sangan
May 2001,01/05/2001,01/01/2003,Semi-Limited,Swords of Revealing Light
May 2001,01/05/2001,01/01/2003,Semi-Limited,Witch of the Black Forest
May 2001,01/05/2001,01/01/2003,Released,Gravekeeper's Servant
May 2001,01/05/2001,01/01/2003,Released,Last Will
May 2001,01/05/2001,01/01/2003,Released,Megamorph
May 2001,01/05/2001,01/01/2003,Released,Sinister Serpent
January 2003,01/01/2003,01/09/2003,Limited,Call of the Haunted
January 2003,01/01/2003,01/09/2003,Limited,Card Destruction
January 2003,01/01/2003,01/09/2003,Limited,Ceasefire
January 2003,01/01/2003,01/09/2003,Limited,Change of Heart
January 2003,01/01/2003,01/09/2003,Limited,Confiscation
January 2003,01/01/2003,01/09/2003,Limited,Cyber Jar
January 2003,01/01/2003,01/09/2003,Limited,Dark Hole
January 2003,01/01/2003,01/09/2003,Limited,Delinquent Duo
January 2003,01/01/2003,01/09/2003,Limited,Exchange of the Spirit
January 2003,01/01/2003,01/09/2003,Limited,Exiled Force
January 2003,01/01/2003,01/09/2003,Limited,Exodia the Forbidden One
January 2003,01/01/2003,01/09/2003,Limited,Fiber Jar
January 2003,01/01/2003,01/09/2003,Limited,Harpie's Feather Duster
January 2003,01/01/2003,01/09/2003,Limited,Heavy Storm
January 2003,01/01/2003,01/09/2003,Limited,Imperial Order
January 2003,01/01/2003,01/09/2003,Limited,Injection Fairy Lily
January 2003,01/01/2003,01/09/2003,Limited,Jinzo
January 2003,01/01/2003,01/09/2003,Limited,Left Arm of the Forbidden One
January 2003,01/01/2003,01/09/2003,Limited,Left Leg of the Forbidden One
January 2003,01/01/2003,01/09/2003,Limited,Limiter Removal
January 2003,01/01/2003,01/09/2003,Limited,Mage Power
January 2003,01/01/2003,01/09/2003,Limited,Magic Cylinder
January 2003,01/01/2003,01/09/2003,Limited,Makyura the Destructor
January 2003,01/01/2003,01/09/2003,Limited,Mirror Force
January 2003,01/01/2003,01/09/2003,Limited,Monster Reborn
January 2003,01/01/2003,01/09/2003,Limited,Morphing Jar
January 2003,01/01/2003,01/09/2003,Limited,Painful Choice
January 2003,01/01/2003,01/09/2003,Limited,Pot of Greed
January 2003,01/01/2003,01/09/2003,Limited,Premature Burial
January 2003,01/01/2003,01/09/2003,Limited,Raigeki
January 2003,01/01/2003,01/09/2003,Limited,Reckless Greed
