format,date,card_name,status,card_id,pretty_url,type
OCG,1999-07-01,Dark Hole,Limited,53129443,dark-hole-4525,
OCG,1999-07-01,Raigeki,Limited,12580477,raigeki-1087,
OCG,1999-07-01,Trap Hole,Limited,4206964,trap-hole-379,
OCG,2000-02-01,Change of Heart,Limited,4031928,change-of-heart-359,
OCG,2000-02-01,Dark Hole,Limited,53129443,dark-hole-4525,
OCG,2000-02-01,Exodia the Forbidden One,Limited,33396948,exodia-the-forbidden-one-2835,
OCG,2000-02-01,Last Will,Limited,85602018,last-will-7174,
OCG,2000-02-01,Left Arm of the Forbidden One,Limited,7902349,left-arm-of-the-forbidden-one-675,
OCG,2000-02-01,Left Leg of the Forbidden One,Limited,44519536,left-leg-of-the-forbidden-one-3796,
OCG,2000-02-01,Mirror Force,Limited,44095762,mirror-force-3764,
OCG,2000-02-01,Pot of Greed,Limited,55144522,pot-of-greed-4698,
OCG,2000-02-01,Raigeki,Limited,12580477,raigeki-1087,
OCG,2000-02-01,Right Arm of the Forbidden One,Limited,70903634,right-arm-of-the-forbidden-one-5956,
OCG,2000-02-01,Right Leg of the Forbidden One,Limited,8124921,right-leg-of-the-forbidden-one-689,
OCG,2000-02-01,Graceful Charity,Semi-Limited,79571449,graceful-charity-6673,
OCG,2000-02-01,Harpie's Feather Duster,Semi-Limited,18144507,harpie-s-feather-duster-1573,
OCG,2000-02-01,Monster Reborn,Semi-Limited,83764719,monster-reborn-7027,
OCG,2000-05-01,Change of Heart,Limited,4031928,change-of-heart-359,
OCG,2000-05-01,Dark Hole,Limited,53129443,dark-hole-4525,
OCG,2000-05-01,Exodia the Forbidden One,Limited,33396948,exodia-the-forbidden-one-2835,
OCG,2000-05-01,Harpie's Feather Duster,Limited,18144507,harpie-s-feather-duster-1573,
OCG,2000-05-01,Last Will,Limited,85602018,last-will-7174,
OCG,2000-05-01,Left Arm of the Forbidden One,Limited,7902349,left-arm-of-the-forbidden-one-675,
