card_id,card_name,category,justification,card_text
80181649,"""A Case for K9""",Starter,"The primary effect, ""When this card is activated",
34541863,"""A"" Cell Breeding Device",,"The card's effect is passive and slow, placing a counter during your Standby Phase. It does not initiate main combos (not a Starter), disrupt the opponent from hand (not a Handtrap), extend plays after a combo has begun (not an Extender), or clear established threats (not a Board Breaker). It also isn't a ""necessary brick"" that serves only to be drawn for another card's effect (not a Garnet), as it has an effect on its own.",
64163367,"""A"" Cell Incubator",,"This card is a highly specific support piece for an A-Counter strategy, accumulating and distributing A-Counters based on other card effects. It does not initiate main combos (not a Starter), disrupt the opponent from the hand (not a Handtrap), directly extend plays by enabling more summons or searches (not an Extender in the typical sense), or remove established threats on the opponent's field (not a Board Breaker). It is also not inherently undesirable to draw as a Garnet, but rather a utility card for a niche mechanic. Its role is too specific to fit the provided broad categories.",
91231901,"""A"" Cell Recombination Device",Extender,"The card's primary effect sends an ""Alien"" monster from the Deck to the Graveyard, which serves as a setup for other ""Alien"" monster effects or enables future plays. Its secondary effect, activated from the Graveyard, provides a delayed search for another ""Alien"" monster, allowing the player to extend their resources and continue their plays in subsequent turns after an initial strategy has been established.",
73262676,"""A"" Cell Scatter Burst",Extender,"This card requires an ""Alien"" monster already on your field to activate, preventing it from being a starter. It modifies the game state by destroying one of your monsters to place A-Counters on your opponent's monsters, which sets up further plays and interactions with other ""Alien"" cards (e.g., those that leverage A-Counters or react to monster destruction), thereby extending your overall strategy rather than initiating it or directly breaking an opponent's board.",
98319530,"""Infernoble Arms - Almace""",Category: Extender,"Justification: This card's effects, particularly the first one, allow you to cycle ""Infernoble Arms"" Equip Spells from the Deck or GY, and the second effect provides resource recovery for FIRE Warrior monsters. Both functions serve to continue or extend existing plays by manipulating equipped cards or recovering monsters, rather than starting a combo from scratch. It requires a monster to be on the field and equipped to activate its primary effect.","While this card is equipped to a monster: You can equip 1 ""Infernoble Arms"" Equip Spell from your Deck or GY, except """"Infernoble Arms - Almace"""", to 1 appropriate monster you control, then destroy this card. If this card is sent to the GY because the equipped monster is sent to the GY: You can target 1 of your FIRE Warrior monsters that is banished or in your GY; add it to your hand. You can only use 1 """"Infernoble Arms - Almace"""" effect per turn, and only once that turn."
37478723,"""Infernoble Arms - Durendal""",Category: Extender,"Justification: The card's primary search effect requires it to be equipped to a monster already on the field, meaning a play has already commenced. This search then fetches a monster to continue or extend the combo. Its second effect triggers when the equipped monster is sent to the GY, allowing for further Special Summons or recovery, thus extending plays after an initial action or interruption.","While this card is equipped to a monster: You can add 1 Level 5 or lower FIRE Warrior monster from your Deck to your hand, then destroy this card. If this card is sent to the GY because the equipped monster is sent to the GY: You can target 1 Level 5 or lower FIRE Warrior monster in your GY; Special Summon it, also you cannot Special Summon monsters for the rest of the turn, except Warrior monsters. You can only use 1 """"Infernoble Arms - Durendal"""" effect per turn, and only once that turn."
64867422,"""Infernoble Arms - Hauteclere""",Category: Extender,"Justification: This card requires an already established monster on the field to be equipped to it. Its first effect extends your offensive capabilities by allowing an equipped monster to attack twice, aiming to push for more damage or clear multiple threats. Its second effect provides reactive removal if the equipped monster leaves the field, serving as a form of follow-up or value generation after an initial play. Both effects continue or enhance plays that have already begun, fitting the role of an extender.","While this card is equipped to a monster: You can target 1 face-up monster you control; this turn, you cannot declare attacks, except with that monster, also it gains the ability this turn to make a second attack during each Battle Phase, then destroy this card. If this card is sent to the GY because the equipped monster is sent to the GY: You can target 1 face-up monster on the field; destroy it. You can only use 1 """"Infernoble Arms - Hauteclere"""" effect per turn, and only once that turn."
90861137,"""Infernoble Arms - Joyeuse""",Category: Extender,"Justification: This card's effects are conditional on it being equipped to a monster or the equipped monster leaving the field, meaning it requires an existing board state. Its effects, which include recycling a monster from the GY or Special Summoning from the hand, serve to continue or extend a combo after an initial play has been made, rather than initiating one.","While this card is equipped to a monster: You can target 1 FIRE Warrior monster in your GY; add it to your hand, then destroy this card. If this card is sent to the GY because the equipped monster is sent to the GY: You can Special Summon 1 FIRE Warrior monster from your hand. You can only use 1 """"Infernoble Arms - Joyeuse"""" effect per turn, and only once that turn."
44256816,1st Movement Solo,Category: Starter,"Justification: This card can be activated when no monsters are controlled, allowing it to initiate a main combo by Special Summoning a ""Melodious"" monster directly from the Deck or hand. This is a classic way to begin a deck's core strategy.","If you control no monsters: Special Summon 1 Level 4 or lower ""Melodious"" monster from your hand or Deck. You can only activate 1 ""1st Movement Solo"" per turn. You cannot Special Summon monsters during the turn you activate this card, except ""Melodious"" monsters."
86988864,3-Hump Lacooda,Category: Extender,"Justification: This card requires a highly specific pre-existing board state (3 face-up ""3-Hump Lacooda"" cards) to activate, meaning it cannot initiate a main combo. Once this specific setup is achieved, it provides significant card advantage by allowing you to draw 3 cards, which helps to continue or extend your plays by providing more resources, fitting the definition of an Extender that gains value after a play has started.","If there are 3 face-up ""3-Hump Lacooda"" cards on your side of the field, Tribute 2 of them to draw 3 cards."
11714098,"30,000-Year White Turtle",,"The provided text is flavor text for a Normal Monster and describes no card effect whatsoever. Therefore, it cannot fulfill any of the defined strategic roles (Starter, Handtrap, Extender, Board Breaker, Garnet) which are predicated on a card having an effect.","''A huge turtle that has existed for over 30,000 years.''"
83994646,4-Starred Ladybug of Doom,Board Breaker,"The card's effect, ""Destroy all Level 4 monsters your opponent controls,"" is used to eliminate or answer established threats on the opponent's field. While it's a FLIP effect and thus slower and more reactive than typical modern board breakers, its strategic role is to dismantle or clear a specific portion of the opponent's board, aligning with the definition of a Board Breaker. It does not start combos, extend plays, or disrupt from the hand.",FLIP: Destroy all Level 4 monsters your opponent controls.
67048711,7,,"This card has a highly specific activation condition, requiring three ""7"" cards on the field to draw 3 cards, then destroys those cards. This effect does not start a main combo, disrupt the opponent from the hand, provide generic extension after a play has begun, or break an opponent's board. It's a payoff for a very niche and specific combo, rather than fitting any of the broadly defined strategic roles. It is not a Garnet as it is the desired outcome of its own specific engine, not an undesirable component required for another card's effect.","When there are 3 face-up ""7"" cards on your side of the field, draw 3 cards from your Deck. Then destroy all ""7"" cards. When this card is sent directly from the field to your Graveyard, increase your Life Points by 700 points."
23771716,7 Colored Fish,,"The provided text ""A rare rainbow fish that has never been caught by mortal man"" is flavor text or a description, not the effect text of a Yu-Gi-Oh! card. Without a card effect, it cannot be classified into any of the given categories which are based on strategic role and activation conditions within the game.",A rare rainbow fish that has never been caught by mortal man.
86198326,7 Completed,,"This card is a simple equip spell that provides a minor ATK/DEF boost to a Machine monster. It does not initiate main combos (not a Starter), disrupt the opponent from the hand (not a Handtrap), extend plays (not an Extender), clear opponent's boards (not a Board Breaker), nor is it a specific combo piece that is undesirable to draw but necessary for an engine (not a Garnet). Its strategic role is limited to a minor stat modification, not fitting the defined archetypes.","Activate this card by choosing ATK or DEF; equip only to a Machine monster. It gains 700 ATK or DEF, depending on the choice."
70417076,Performage Wind Drainer,Extender,"This card's primary monster effect allows it to be Special Summoned from the hand if you already control a ""Performage"" monster. This activation condition requires a play to have already started, fitting the definition of an extender that continues your combo by providing an additional body on the field for further plays like Xyz or Synchro Summons.","[ Pendulum Effect ] 
Once per turn: You can target 1 ""Performage"" Pendulum Monster you control, then activate 1 of these effects;
● Reduce its Level by 1.
● Increase this card's Pendulum Scale by that monster's.

[ Monster Effect ] 
If your opponent controls a monster, or a ""Performage"" monster is on the field: You can Special Summon this card from your hand, but while it is face-up in the Monster Zone, you cannot Special Summon, except ""Performage"" monsters. You can only use this effect of ""Performage Wind Drainer"" once per turn. If this card is Special Summoned: You can reduce its Level by 1. Once per turn: You can change the Levels of all Level 4 ""Performage"" monsters you control to Level 5."
42382265,D/D Scale Surveyor,Extender,"The card's main monster effect allows it to be Special Summoned from the hand only if you already control a ""D/D"" Pendulum Monster. This condition means it cannot start a play on its own but is used to continue a combo by providing an additional body on the field for Synchro, Xyz, or Link Summons, fitting the definition of an Extender.","[ Pendulum Effect ] 
During the Standby Phase: You can target up to 2 cards in the Pendulum Zones; their Pendulum Scales become 0 until the end of this turn. You can only use this effect of ""D/D Scale Surveyor"" once per turn.

[ Monster Effect ] 
If you control a ""D/D"" Pendulum Monster Card: You can Special Summon this card from your hand. If this card is Normal or Special Summoned: You can make this card Level 4. If this card is sent to the GY, or added to the Extra Deck face-up: You can target 1 ""D/D"" Pendulum Monster Card you control; return it to the hand. You can only use each effect of ""D/D Scale Surveyor"" once per turn."
