card_id,card_name,card_text,category_1,category_2,justification_1,justification_2,agreed
44818,Starry Knight Orbitael,"(Quick Effect): You can target 1 LIGHT monster you control; Tribute it, and if you do, Set 1 ""Starry Knight"" Spell/Trap directly from your Deck. If a face-up Level 7 LIGHT Dragon monster you control returns to the hand, while this card is in your GY (except during the Damage Step): You can Special Summon this card. You can only use each effect of ""Starry Knight Orbitael"" once per turn.",Extender,Extender,"The card's primary effect (Special Summoning itself from the GY) activates when a specific archetype-related monster (Level 7 LIGHT Dragon) returns to the hand, which typically occurs during the ongoing plays of the ""Starry Knight"" deck (e.g., from ""Starry Knight Dragon Seyfert""). This provides an additional body on the field to extend combos, push for more damage, or create extra material for further summons (like Xyz or Link Summons), fitting the definition of an extender. The first effect also facilitates further plays by searching a Spell/Trap after a monster is already on the field.","The card's first effect requires an existing monster on the field to tribute, allowing it to set up further plays by searching a Spell/Trap. Its second effect triggers from the GY when a specific monster type returns to hand, providing an additional body on the field to continue or extend combos. Both effects support ongoing plays rather than starting them or disrupting the opponent.",True
122520,Performapal Sky Pupil,"During either player's turn: You can return 1 Level 5 or higher ""Performapal"" monster you control to the hand; Special Summon this card from your hand. You can only use this effect of ""Performapal Sky Pupil"" once per turn. If this card battles an opponent's monster, that monster has its effects negated until the end of the Damage Step. Before damage calculation, if this card attacked an opponent's monster while you control another ""Performapal"" monster: You can destroy that opponent's monster.",Starter,Extender,"This card’s effect allows for a quick and impactful play – Special Summoning itself and then destroying an opponent's monster, fitting the role of a starter card that initiates a combo.","This card can be activated from the hand during either player's turn, but its primary effect requires you to control a Level 5 or higher ""Performapal"" monster and return it to the hand to Special Summon itself. This dependency on having an existing board state to function makes it an extender, used to continue or add to existing plays rather than initiate them.",False
473469,Driving Snow,You can only activate this card when 1 or more of your Trap Cards are destroyed and sent from the field to the Graveyard by a card effect your opponent controls. Destroy 1 Spell or Trap Card on the field.,Extender,None,"This card's effect is reactive, requiring the destruction of your own Trap Cards by the opponent's card effect to be activated. Its primary function is to destroy an opponent's card, which can extend your plays or disrupt their board after an initial interaction has occurred.","This card requires a specific trigger condition (opponent destroying your Trap Cards) and its effect is a simple removal of a Spell or Trap. It does not initiate a combo, disrupt an opponent from hand, extend a play, break a board in a significant way, or act as a necessary brick.",False
545781,Mahaama the Fairy Dragon,"During your opponent's turn, when either player takes battle damage: You can Special Summon this card from your hand, then apply 1 of these effects.
● Gain LP equal to that battle damage.
● Inflict damage to your opponent equal to that battle damage.",Handtrap,Handtrap,"This card can be activated from the hand during either player's turn when battle damage is taken, allowing for disruption or a change in board state without needing to control the card on the field.","This card can be activated from the hand during the opponent's turn, specifically in response to battle damage, to Special Summon itself and apply an effect that disrupts or punishes the opponent. This aligns with the definition of a handtrap.",True
662853,Sanctity of Dragon,"3+ Dragon Effect Monsters
Must be Link Summoned. If this Extra Linked card attacks your opponent directly and reduces their LP to 0, you win the Match.",None,None,"This card is a Link Monster with a win condition that relies on attacking directly while being ""Extra Linked."" It doesn't activate an effect to begin a combo, disrupt the opponent, extend a play, break a board, or act as a necessary but undesirable draw. Its primary function is to be summoned as part of a larger strategy and provide a powerful, albeit conditional, win condition.","This card is a Link Monster that requires a specific Extra Link board state to activate its win condition. It doesn't initiate plays, disrupt the opponent from hand, extend combos, or primarily break boards on its own. Its win condition is highly situational and dependent on an already established board.",True
799183,Super Soldier Shield,"When a Spell/Trap Card, or monster effect, is activated that targets a monster(s) on the field, while you control a ""Black Luster Soldier"" monster: Negate the activation, and if you do, destroy that card. If this card is in your Graveyard: You can remove 1 Spell Counter from your side of the field; Set this card, but banish it when it leaves the field.",Handtrap,Handtrap,"This card can be activated from the Graveyard when a Spell/Trap or monster effect targets a monster you control, disrupting the opponent's plays and protecting your monsters. While it's activated from the Graveyard, its effect fulfills the role of a handtrap by negating an opponent's action, even if it requires a specific ""Black Luster Soldier"" monster on the field to do so.","This card can be activated from the hand in response to an opponent's Spell/Trap or monster effect that targets a monster on the field, negating the activation and destroying the card. This fits the definition of a disruptive handtrap.",True
844056,Red Arrows,"Target up to 2 face-up monsters in the Extra Monster Zone(s); banish them until the End Phase. You can only activate 1 ""Red Arrows"" per turn.",Board Breaker,Board Breaker,"This card's effect is used to remove powerful monsters from the opponent's Extra Monster Zones. Its strategic role is to dismantle an established board by temporarily clearing key threats, which is a hallmark of a Board Breaker, especially when going second.","This card's effect is used to remove up to two powerful monsters from the opponent's Extra Monster Zones. Its purpose is to dismantle an established board, clearing threats so you can proceed with your own plays, which is the defining role of a Board Breaker.",True
900787,Dragunity Knight - Gae Bulg,"1 Dragon-Type Tuner + 1 or more non-Tuner Winged Beast-Type monsters 
 If this card attacks or is attacked, during the Damage Step you can remove from play 1 (only) Winged Beast-Type monster from your Graveyard, to have this card gain the ATK of that monster until the End Phase.",Extender,None,"This card’s effect requires an existing board (Winged Beast monsters) to function, extending a combo after it has already been established. It doesn't initiate a new play but builds upon an existing one.","This card is a Synchro Monster that requires specific materials and its effect is a mid-combat buff that does not initiate a combo, disrupt an opponent, extend plays, or break a board. It does not fit any of the provided categories.",False
904186,Mecha Phantom Beast Token,"This card can be used as a ""Mecha Phantom Beast Token"".

*If used for another Token, apply that Token's Type/Attribute/Level/ATK/DEF.",None,None,"The card text provided does not contain an effect that aligns with any of the defined categories. It solely states the card's use as a ""Mecha Phantom Beast Token"" and mentions applying its Type/Attribute/Level/ATK/DEF if used for another Token, which is a descriptive property, not an activatable effect.","This card does not have an effect that activates on its own to begin a combo, nor does it disrupt the opponent from the hand. It also does not break boards or serve as a combo piece that is undesirable to draw. Its primary function is to be a Token, which doesn't fit any of the defined categories.",True
938717,Boot-Up Corporal - Command Dynamo,"You can target up to 2 Machine ""Gadget"" monsters you control or in your GY with different names; Special Summon this card from your hand, then equip those targets to this card (regardless of their Type). You can only use this effect of ""Boot-Up Corporal - Command Dynamo"" once per turn. Gains 1000 ATK for each monster equipped to this card by this effect.",Extender,Extender,"This card can be Special Summoned from the hand by targeting specific monsters you control or have in the GY. This condition implies that you need to have already summoned or have ""Gadget"" monsters on the field or in the GY to activate its effect, allowing for further combo extension.","This card can be Special Summoned from the hand by targeting Machine ""Gadget"" monsters you control or in your GY. This requires an existing board presence or graveyard setup, allowing it to extend your plays by summoning itself and providing an ATK boost.",True
